ID,Comentario,Tipo
3959,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
3960,No responden los correos de atención al cliente.,Queja
3961,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
3962,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
3963,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
3964,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
3965,Tuve un problema con mi compra y nadie me ayudó.,Queja
3966,La página web es muy lenta y difícil de usar.,Queja
3967,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
3968,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
3969,Sería genial si agregaran más opciones de pago.,Sugerencia
3970,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
3971,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
3972,El producto llegó defectuoso y tardaron en dar solución.,Queja
3973,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
3974,No me gusta que el personal no esté bien capacitado.,Queja
3975,No me gusta que el personal no esté bien capacitado.,Queja
3976,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
3977,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
3978,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
3979,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
3980,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
3981,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
3982,No responden los correos de atención al cliente.,Queja
3983,El servicio al cliente fue muy lento y poco amable.,Queja
3984,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
3985,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
3986,No responden los correos de atención al cliente.,Queja
3987,El servicio al cliente fue muy lento y poco amable.,Queja
3988,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
3989,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
3990,El servicio al cliente fue muy lento y poco amable.,Queja
3991,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
3992,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
3993,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
3994,El servicio al cliente fue muy lento y poco amable.,Queja
3995,No me gusta que el personal no esté bien capacitado.,Queja
3996,No responden los correos de atención al cliente.,Queja
3997,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
3998,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
3999,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4000,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4001,Tuve un problema con mi compra y nadie me ayudó.,Queja
4002,No me gusta que el personal no esté bien capacitado.,Queja
4003,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4004,Sería genial si agregaran más opciones de pago.,Sugerencia
4005,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4006,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4007,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4008,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4009,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4010,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4011,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
4012,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4013,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4014,El producto llegó defectuoso y tardaron en dar solución.,Queja
4015,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4016,El servicio al cliente fue muy lento y poco amable.,Queja
4017,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4018,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4019,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4020,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4021,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4022,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4023,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4024,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4025,Tuve un problema con mi compra y nadie me ayudó.,Queja
4026,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4027,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4028,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4029,No me gusta que el personal no esté bien capacitado.,Queja
4030,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4031,No me gusta que el personal no esté bien capacitado.,Queja
4032,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4033,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4034,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4035,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4036,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4037,No responden los correos de atención al cliente.,Queja
4038,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4039,La página web es muy lenta y difícil de usar.,Queja
4040,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4041,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4042,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4043,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4044,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4045,No me gusta que el personal no esté bien capacitado.,Queja
4046,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4047,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4048,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4049,No me gusta que el personal no esté bien capacitado.,Queja
4050,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4051,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4052,El servicio al cliente fue muy lento y poco amable.,Queja
4053,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4054,El servicio al cliente fue muy lento y poco amable.,Queja
4055,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4056,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4057,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4058,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4059,No me gusta que el personal no esté bien capacitado.,Queja
4060,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4061,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4062,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4063,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4064,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4065,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4066,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4067,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4068,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4069,No responden los correos de atención al cliente.,Queja
4070,No responden los correos de atención al cliente.,Queja
4071,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4072,Tuve un problema con mi compra y nadie me ayudó.,Queja
4073,No me gusta que el personal no esté bien capacitado.,Queja
4074,Tuve un problema con mi compra y nadie me ayudó.,Queja
4075,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4076,El servicio al cliente fue muy lento y poco amable.,Queja
4077,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4078,Tuve un problema con mi compra y nadie me ayudó.,Queja
4079,La página web es muy lenta y difícil de usar.,Queja
4080,Tuve un problema con mi compra y nadie me ayudó.,Queja
4081,Tuve un problema con mi compra y nadie me ayudó.,Queja
4082,No responden los correos de atención al cliente.,Queja
4083,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4084,El servicio al cliente fue muy lento y poco amable.,Queja
4085,Sería genial si agregaran más opciones de pago.,Sugerencia
4086,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4087,No me gusta que el personal no esté bien capacitado.,Queja
4088,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
4089,El producto llegó defectuoso y tardaron en dar solución.,Queja
4090,Sería genial si agregaran más opciones de pago.,Sugerencia
4091,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4092,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4093,No responden los correos de atención al cliente.,Queja
4094,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4095,No me gusta que el personal no esté bien capacitado.,Queja
4096,No me gusta que el personal no esté bien capacitado.,Queja
4097,No me gusta que el personal no esté bien capacitado.,Queja
4098,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4099,El producto llegó defectuoso y tardaron en dar solución.,Queja
4100,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4101,Sería genial si agregaran más opciones de pago.,Sugerencia
4102,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4103,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4104,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4105,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4106,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4107,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4108,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4109,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4110,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4111,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4112,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4113,No responden los correos de atención al cliente.,Queja
4114,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4115,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4116,No responden los correos de atención al cliente.,Queja
4117,No me gusta que el personal no esté bien capacitado.,Queja
4118,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4119,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4120,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4121,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4122,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4123,El producto llegó defectuoso y tardaron en dar solución.,Queja
4124,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4125,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4126,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4127,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4128,No responden los correos de atención al cliente.,Queja
4129,No responden los correos de atención al cliente.,Queja
4130,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4131,No me gusta que el personal no esté bien capacitado.,Queja
4132,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4133,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4134,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4135,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4136,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4137,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4138,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4139,Sería genial si agregaran más opciones de pago.,Sugerencia
4140,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4141,El servicio al cliente fue muy lento y poco amable.,Queja
4142,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4143,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4144,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4145,La página web es muy lenta y difícil de usar.,Queja
4146,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4147,No responden los correos de atención al cliente.,Queja
4148,Tuve un problema con mi compra y nadie me ayudó.,Queja
4149,Sería genial si agregaran más opciones de pago.,Sugerencia
4150,Tuve un problema con mi compra y nadie me ayudó.,Queja
4151,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4152,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4153,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4154,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4155,No responden los correos de atención al cliente.,Queja
4156,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4157,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4158,Tuve un problema con mi compra y nadie me ayudó.,Queja
4159,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4160,El producto llegó defectuoso y tardaron en dar solución.,Queja
4161,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4162,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4163,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4164,No responden los correos de atención al cliente.,Queja
4165,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4166,Tuve un problema con mi compra y nadie me ayudó.,Queja
4167,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4168,El servicio al cliente fue muy lento y poco amable.,Queja
4169,La página web es muy lenta y difícil de usar.,Queja
4170,El servicio al cliente fue muy lento y poco amable.,Queja
4171,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4172,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4173,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4174,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4175,La página web es muy lenta y difícil de usar.,Queja
4176,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4177,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4178,El servicio al cliente fue muy lento y poco amable.,Queja
4179,El servicio al cliente fue muy lento y poco amable.,Queja
4180,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4181,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4182,El servicio al cliente fue muy lento y poco amable.,Queja
4183,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4184,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4185,Sería genial si agregaran más opciones de pago.,Sugerencia
4186,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4187,No responden los correos de atención al cliente.,Queja
4188,No me gusta que el personal no esté bien capacitado.,Queja
4189,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4190,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4191,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4192,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4193,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4194,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4195,No me gusta que el personal no esté bien capacitado.,Queja
4196,No responden los correos de atención al cliente.,Queja
4197,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4198,No responden los correos de atención al cliente.,Queja
4199,Sería genial si agregaran más opciones de pago.,Sugerencia
4200,No responden los correos de atención al cliente.,Queja
4201,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4202,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4203,No me gusta que el personal no esté bien capacitado.,Queja
4204,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4205,No responden los correos de atención al cliente.,Queja
4206,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4207,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4208,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4209,No responden los correos de atención al cliente.,Queja
4210,Sería genial si agregaran más opciones de pago.,Sugerencia
4211,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4212,Tuve un problema con mi compra y nadie me ayudó.,Queja
4213,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4214,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4215,El servicio al cliente fue muy lento y poco amable.,Queja
4216,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4217,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4218,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4219,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4220,Sería genial si agregaran más opciones de pago.,Sugerencia
4221,Sería genial si agregaran más opciones de pago.,Sugerencia
4222,Tuve un problema con mi compra y nadie me ayudó.,Queja
4223,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4224,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4225,No me gusta que el personal no esté bien capacitado.,Queja
4226,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4227,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4228,No responden los correos de atención al cliente.,Queja
4229,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4230,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4231,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4232,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4233,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4234,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4235,Sería genial si agregaran más opciones de pago.,Sugerencia
4236,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4237,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4238,El producto llegó defectuoso y tardaron en dar solución.,Queja
4239,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4240,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4241,No me gusta que el personal no esté bien capacitado.,Queja
4242,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4243,Tuve un problema con mi compra y nadie me ayudó.,Queja
4244,No responden los correos de atención al cliente.,Queja
4245,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4246,Tuve un problema con mi compra y nadie me ayudó.,Queja
4247,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4248,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4249,No me gusta que el personal no esté bien capacitado.,Queja
4250,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4251,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4252,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4253,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4254,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4255,No responden los correos de atención al cliente.,Queja
4256,No responden los correos de atención al cliente.,Queja
4257,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4258,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4259,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4260,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4261,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4262,El producto llegó defectuoso y tardaron en dar solución.,Queja
4263,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4264,Tuve un problema con mi compra y nadie me ayudó.,Queja
4265,El servicio al cliente fue muy lento y poco amable.,Queja
4266,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4267,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4268,El servicio al cliente fue muy lento y poco amable.,Queja
4269,Sería genial si agregaran más opciones de pago.,Sugerencia
4270,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4271,El producto llegó defectuoso y tardaron en dar solución.,Queja
4272,El servicio al cliente fue muy lento y poco amable.,Queja
4273,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4274,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4275,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4276,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4277,No responden los correos de atención al cliente.,Queja
4278,La página web es muy lenta y difícil de usar.,Queja
4279,La página web es muy lenta y difícil de usar.,Queja
4280,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4281,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4282,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4283,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
4284,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4285,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4286,El producto llegó defectuoso y tardaron en dar solución.,Queja
4287,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4288,No me gusta que el personal no esté bien capacitado.,Queja
4289,No responden los correos de atención al cliente.,Queja
4290,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4291,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4292,El producto llegó defectuoso y tardaron en dar solución.,Queja
4293,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4294,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4295,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4296,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4297,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4298,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4299,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
4300,Tuve un problema con mi compra y nadie me ayudó.,Queja
4301,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
4302,La página web es muy lenta y difícil de usar.,Queja
4303,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4304,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4305,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4306,No responden los correos de atención al cliente.,Queja
4307,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
4308,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4309,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4310,Sería genial si agregaran más opciones de pago.,Sugerencia
4311,No responden los correos de atención al cliente.,Queja
4312,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
4313,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4314,No me gusta que el personal no esté bien capacitado.,Queja
4315,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4316,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
4317,Sería genial si agregaran más opciones de pago.,Sugerencia
4318,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4319,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4320,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4321,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
4322,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4323,Sería genial si agregaran más opciones de pago.,Sugerencia
4324,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4325,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4326,El servicio al cliente fue muy lento y poco amable.,Queja
4327,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4328,Tuve un problema con mi compra y nadie me ayudó.,Queja
4329,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4330,No me gusta que el personal no esté bien capacitado.,Queja
4331,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4332,El servicio al cliente fue muy lento y poco amable.,Queja
4333,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4334,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
4335,Sería genial si agregaran más opciones de pago.,Sugerencia
4336,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4337,No me gusta que el personal no esté bien capacitado.,Queja
4338,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4339,Sería genial si agregaran más opciones de pago.,Sugerencia
4340,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4341,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4342,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4343,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4344,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4345,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4346,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4347,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4348,No me gusta que el personal no esté bien capacitado.,Queja
4349,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4350,El servicio al cliente fue muy lento y poco amable.,Queja
4351,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4352,No responden los correos de atención al cliente.,Queja
4353,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4354,Tuve un problema con mi compra y nadie me ayudó.,Queja
4355,El producto llegó defectuoso y tardaron en dar solución.,Queja
4356,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
4357,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4358,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
4359,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
4360,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4361,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4362,El producto llegó defectuoso y tardaron en dar solución.,Queja
4363,Sería genial si agregaran más opciones de pago.,Sugerencia
4364,El servicio al cliente fue muy lento y poco amable.,Queja
4365,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4366,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
4367,El producto llegó defectuoso y tardaron en dar solución.,Queja
4368,No responden los correos de atención al cliente.,Queja
4369,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
4370,El producto llegó defectuoso y tardaron en dar solución.,Queja
4371,El producto llegó defectuoso y tardaron en dar solución.,Queja
4372,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4373,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4374,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4375,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4376,El producto llegó defectuoso y tardaron en dar solución.,Queja
4377,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
4378,La página web es muy lenta y difícil de usar.,Queja
4379,Sería genial si agregaran más opciones de pago.,Sugerencia
4380,El producto llegó defectuoso y tardaron en dar solución.,Queja
4381,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
4382,No me gusta que el personal no esté bien capacitado.,Queja
4383,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4384,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4385,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
4386,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
4387,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
4388,No me gusta que el personal no esté bien capacitado.,Queja
4389,Tuve un problema con mi compra y nadie me ayudó.,Queja
4390,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4391,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
4392,No me gusta que el personal no esté bien capacitado.,Queja
4393,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
4394,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
